Site,Site,Latitude,Longitude,Year,count
B1147,B1147,25.6959,-80.09738333,2006,38
B1150,B1150,25.6784,-80.09123333,2006,20
B1152,B1152,25.37523,-80.13918000000001,2006,27
B1154,B1154,25.58216667,-80.09586667,2006,64
B1157,B1157,25.695629999999998,-80.09008,2006,85
B1159,B1159,25.42166667,-80.1538,2006,85
B1165,B1165,25.49008333,-80.12655,2006,103
B2006,B2006,26.00701667,-80.09748333,2006,32
B2010,B2010,26.06498333,-80.10626667,2006,10
B2013,B2013,26.16375,-80.09478333,2006,13
B2021,B2021,26.03206667,-80.08738333,2006,33
B2023,B2023,26.2172,-80.0702,2006,59
B2029,B2029,24.50998333,-81.5643,2006,27
B2030,B2030,24.49198333,-81.65926667,2006,27
B2032,B2032,24.49378333,-81.65943333,2006,8
B2034,B2034,24.47756667,-81.83191667,2006,13
B2035,B2035,24.45955,-81.85565,2006,35
B2036,B2036,24.4574,-81.9131,2006,29
B2039,B2039,24.52628333,-81.56631667,2006,128
B2040,B2040,24.4756,-81.83386667,2006,9
B2041.1,B2041.1,24.51178333,-81.56035,2006,48
B2041.2,B2041.2,24.51176667,-81.56035,2006,67
B2042,B2042,24.49918333,-81.63366667,2006,12
B2043,B2043,24.49198333,-81.65151667,2006,76
B2045,B2045,24.43803333,-81.89336667,2006,35
B2046,B2046,24.44515,-81.94286667,2006,31
B2051,B2051,24.48836667,-81.88336667,2006,64
B2053,B2053,24.58556667,-81.58016667,2006,46
B2054,B2054,24.56396667,-81.66141667,2006,11
B2147,B2147,25.55923333,-80.10561667,2006,51
B2160,B2160,25.45613333,-80.17183333,2006,123
B2162,B2162,25.38636667,-80.16273333,2006,172
B2163,B2163,25.43395,-80.19285,2006,38
B2165,B2165,25.45903333,-80.13018333,2006,95
B3015,B3015,24.5474,-81.58661667,2006,132
B3016,B3016,24.58581667,-81.58261667,2006,43
B3160,B3160,25.46398333,-80.16918333,2006,74
B3163,B3163,25.4052,-80.1691,2006,120
C1000,C1000,25.21366667,-80.2107,2006,38
C1008,C1008,24.96891667,-80.53936667,2006,2
C1010,C1010,24.95453333,-80.5044,2006,71
C1011,C1011,24.62691667,-81.10853333,2006,14
C1012,C1012,24.8465509,-80.62290949999999,2006,29
C1014,C1014,24.92161667,-80.52221667,2006,8
C1015,C1015,24.60156667,-81.21333333,2006,13
C1016,C1016,24.8429518,-80.6308365,2006,16
C1017,C1017,24.8951473,-80.5555267,2006,16
C1018,C1018,24.62346667,-81.1065,2006,60
C1020,C1020,24.67196667,-80.9638,2006,11
C1021,C1021,24.5945,-81.21145,2006,7
C1023,C1023,24.51745,-82.00061667,2006,8
C1024,C1024,24.54996667,-81.70303333,2006,2
C1027,C1027,24.47736667,-81.95411667,2006,31
C1028,C1028,24.4802,-81.93285,2006,102
C1030,C1030,24.52383333,-81.6381,2006,195
C1031,C1031,24.52658333,-81.67381667,2006,139
C1033,C1033,24.53465,-81.60453333,2006,116
C1035,C1035,24.57863333,-81.43753333,2006,157
C1036,C1036,24.58193333,-81.44148333,2006,158
C1037,C1037,24.44848333,-81.95035,2006,59
C1039,C1039,24.50228333,-81.65951667,2006,37
C1041,C1041,24.52073333,-81.52478333,2006,35
C1042,C1042,24.54643333,-81.4019,2006,44
C1043,C1043,24.45588333,-81.91321667,2006,66
C1045,C1045,24.57658333,-81.30465,2006,79
C1046,C1046,24.59061667,-81.24738333,2006,37
C1049,C1049,24.51486667,-81.55465,2006,53
C1050,C1050,24.56936667,-81.31458333,2006,52
C1052,C1052,24.46678333,-81.8061,2006,103
C1054,C1054,25.10413333,-80.30961667,2006,88
C1055,C1055,25.24198333,-80.22425,2006,21
C1056,C1056,25.22451667,-80.21416667,2006,27
C1057,C1057,25.0827,-80.32335,2006,26
C1058,C1058,25.22966667,-80.20641667,2006,37
C1059,C1059,25.1453,-80.25436667,2006,53
C1060,C1060,25.24445,-80.2133,2006,72
C1062,C1062,25.11841667,-80.30183333,2006,57
C1063,C1063,25.003,-80.43766667,2006,36
